GCLAverageExpertLogPtau,Entropy,GCLMedianExpertLogQtau,GCLMedianLogQtau,AvgRewardCtrl,AvgRewardContact,GCLAverageEnergy,ProcessExecTime,PolicyExecTime,AveragePolicyStd,GCLAverageExpertEnergy,GCLLogZ,ExplainedVariance,Iteration,ItrTime,MinReturn,IRLLoss,MeanKLBefore,NumTrajs,LossBefore,EnvExecTime,Perplexity,IRLRewardMin,GCLAverageLogPtau,AverageReturn,AvgRewardFlipped,IRLRewardMax,IRLRewardMean,Time,OriginalTaskAverageReturn,GCLAverageLogQtau,AvgRewardFwd,StdReturn,GCLDiscrimLoss,dLoss,GCLAverageExpertLogQtau,AverageDiscountedReturn,MaxReturn,LossAfter,GCLAverageDtau,GCLAverageExpertDtau,MeanKL
-1.09002,11.3515,-13.0057,-11.0339,-0.103571774822,-0.00207131775496,0.721711,0.13451218605041504,0.4072854518890381,1.0,0.701703,0.402403,3.19491100242e-11,0,11.152313947677612,-390.701943831,5.48738,0.0,20,-1.13515102863,6.836333274841309,85093.5,-2.69062,-1.12411,-360.855554508,0.0,0.304327,-0.721711,11.152305364608765,-50.5119433717,-11.3391,0.00461920583317,14.5798922492,5.48738,0.0490289926529,-13.5289,-72.2390265975,-334.362080723,-1.18418002129,0.999906,0.999968,0.00654146866873
-1.9628,11.3399,-13.0141,-10.9869,-0.102991269576,-0.00213912184748,1.35636,0.09567880630493164,0.3395969867706299,0.99856,1.46656,0.473279,0.743790386279,1,9.409737348556519,-724.358478755,5.16029,0.0,20,-1.13399410248,6.669930934906006,84115.1,-4.67415,-1.82963,-685.448239715,0.0,-0.152022,-1.3709,20.568976640701294,-41.4307523847,-11.3238,0.0222688866544,22.1104260719,5.16029,0.0441162586212,-13.5319,-137.095536407,-638.3075822,-1.1781103611,0.999799,0.999927,0.00643115676939
-3.0347,11.3249,-13.0202,-10.9835,-0.101014113077,-0.00212648005148,2.22755,0.11884546279907227,0.7013149261474609,0.996691,2.46106,0.510603,0.831523273805,2,10.974028587341309,-1183.82568485,4.74331,0.0,20,-1.13249123096,7.831394672393799,82860.9,-6.08807,-2.73815,-1115.83146383,0.0,-0.67516,-2.23166,31.550885915756226,-36.5518937717,-11.3162,0.0300368055849,44.6423383693,4.74331,0.0612264871597,-13.5423,-222.706950534,-1026.97321951,-1.19371771812,0.99945,0.999756,0.00991154462099
-4.37738,11.3193,-12.9744,-10.9863,-0.101799772023,-0.00213489607635,3.46341,0.09907650947570801,0.2902030944824219,0.995993,3.7567,0.544872,0.855802703128,3,8.692137479782104,-1810.25274873,4.36996,0.0,20,-1.13193035126,6.30234169960022,82397.0,-8.65109,-4.00829,-1726.15269592,0.0,-1.06796,-3.45231,40.24963688850403,-40.0030198533,-11.3091,0.0239286283926,75.6976517076,4.36996,0.065157532692,-13.4616,-346.685260378,-1503.96557975,-1.19708788395,0.997474,0.998702,0.0099541535601
-6.09612,11.3389,-12.881,-11.0266,-0.101980630121,-0.00211563951749,5.10876,0.09396839141845703,0.29038214683532715,0.998445,5.44524,0.566188,0.882254543014,4,8.225613117218018,-2669.40758681,3.49739,0.0,20,-1.13388776779,6.206530809402466,84025.7,-11.8842,-5.67495,-2556.21413009,0.0,-1.67589,-5.11243,48.4917893409729,-37.7730632649,-11.3381,0.028550143109,105.636386415,3.49739,0.0620448589325,-13.3685,-512.707316383,-2239.53032625,-1.19593262672,0.983974,0.989486,0.00984352454543
-8.31481,11.349,-12.9483,-11.0153,-0.101767807956,-0.00211818424393,7.25651,0.10168266296386719,0.30668044090270996,0.999731,7.62406,0.600148,0.899825792274,5,8.29718279838562,-3860.75086761,2.71769,0.0,20,-1.13490474224,6.363698720932007,84884.5,-15.2467,-7.85666,-3637.23120232,0.0,-2.36475,-7.27446,56.80873918533325,-32.7052028483,-11.3375,0.0384755865037,208.603142466,2.71769,0.0615485906601,-13.4146,-736.823812164,-3254.03388691,-1.1964533329,0.904835,0.932496,0.0099884243682
-10.7103,11.3489,-12.8786,-10.9997,-0.100698548448,-0.00214320568951,9.93477,0.10697555541992188,0.32474279403686523,0.999759,10.0412,0.58102,0.91545836222,6,8.390159368515015,-5195.98245287,1.76833,0.0,20,-1.13489055634,6.422363996505737,84872.6,-21.3622,-10.5158,-4941.2642992,0.0,-3.26789,-9.88253,65.20541381835938,-47.0198522295,-11.3142,0.00880204967859,221.814164459,1.76833,0.0459332466125,-13.3569,-1007.44543565,-4443.93868756,-1.18082380295,0.657197,0.783895,0.00655153347179
-12.2342,11.3284,-12.948,-11.0043,-0.101355626533,-0.00213375089696,12.3634,0.10945296287536621,0.32306575775146484,0.997174,11.6508,0.522485,0.942977568543,7,8.479150772094727,-6448.01607084,0.986037,0.0,20,-1.13283979893,6.550247669219971,83149.9,-24.0902,-12.8859,-6196.24571784,0.0,-4.21825,-12.3925,73.69261980056763,-49.646238745,-11.3333,0.00419689994013,155.159276176,0.986037,0.0516760349274,-13.4301,-1244.63321496,-5897.96534681,-1.18451583385,0.383904,0.648555,0.00647698808461
-12.0919,11.3326,-12.9887,-10.9987,-0.101079437739,-0.00215452493453,13.0675,0.09056544303894043,0.2954704761505127,0.997739,11.6289,0.45307,0.969711156926,8,8.311530828475952,-6841.62341547,0.850309,0.0,20,-1.13326275349,6.40444540977478,83502.2,-25.9402,-13.5206,-6425.60684798,0.0,-4.23396,-12.8512,82.01200556755066,-47.5076235269,-11.3255,0.00821871561949,407.164982892,0.850309,0.0484302043915,-13.4815,-1316.44749685,-5608.25216866,-1.18169295788,0.316277,0.658165,0.00644528260455
-11.2968,11.3247,-13.0177,-10.994,-0.100966464943,-0.00216099920031,13.3191,0.10415768623352051,0.3241291046142578,0.996753,10.9237,0.400594,0.969657836955,9,8.396678686141968,-6987.77099228,0.722404,0.0,20,-1.13247358799,6.491305589675903,82845.8,-25.7522,-13.7197,-6620.73624535,0.0,-4.14438,-13.2415,90.41613578796387,-55.3160485205,-11.3125,-0.00750463289806,282.13545629,0.722404,0.063422203064,-13.5071,-1336.20063677,-5733.4652977,-1.19589579105,0.287628,0.737244,0.00984088890254
-10.5438,11.334,-13.0503,-10.9757,-0.0995142383257,-0.00220258789316,13.321,0.0947723388671875,0.3395369052886963,0.997946,10.2676,0.332399,0.981145861802,10,8.415520191192627,-6909.18861151,0.603445,0.0,20,-1.13340318203,6.488909959793091,83619.4,-25.9376,-13.6534,-6560.95396423,0.0,-4.477,-13.1219,98.84043407440186,-39.3633647298,-11.3079,0.0229900967594,262.742732433,0.603445,0.0462641716003,-13.5313,-1324.43360349,-5856.12086773,-1.17966735363,0.288914,0.80128,0.00658797752112
-10.4186,11.3231,-13.0375,-11.0057,-0.100320279228,-0.00216981116088,13.6822,0.0948176383972168,0.3253967761993408,0.996569,10.2313,0.27286,0.977905954708,11,8.495065212249756,-7238.09000874,0.553447,0.0,20,-1.13230860233,6.597061395645142,82709.3,-28.2519,-13.9551,-6844.45717497,0.0,-4.71608,-13.6889,107.34336829185486,-47.3444652476,-11.3389,0.00780115989363,372.775933805,0.553447,0.0522081851959,-13.52,-1382.00504616,-5868.52942753,-1.18451678753,0.262316,0.805908,0.0064310869202
-10.4052,11.3374,-12.9805,-11.0084,-0.101391757996,-0.00219647799054,14.4447,0.09363889694213867,0.3244659900665283,0.998382,10.2608,0.240359,0.977102556722,12,8.46225357055664,-7472.9743948,0.45545,0.0,20,-1.13373982906,6.602059364318848,83901.3,-28.8612,-14.685,-7106.84646463,0.0,-5.01494,-14.2137,115.81363844871521,-43.6516538631,-11.3521,0.0162849282607,294.069132054,0.45545,0.0503667593002,-13.4747,-1439.72237261,-6562.88301182,-1.18410658836,0.199793,0.802636,0.00643875589594
